Hour,0,1,2,3,4,5,6
0,7.71864406779661,9.579661016949153,10.037162162162161,10.658783783783784,13.491525423728813,17.410169491525423,15.779661016949152
1,3.640677966101695,4.498305084745763,4.989864864864865,5.287162162162162,6.84406779661017,10.220338983050848,8.979661016949153
2,2.535593220338983,3.352542372881356,3.4695945945945947,3.7128378378378377,3.935593220338983,6.850847457627118,5.9553264604811
3,2.393220338983051,2.6610169491525424,2.8817567567567566,2.793918918918919,2.9694915254237286,3.6203389830508477,3.694915254237288
4,7.077966101694916,7.569491525423729,7.831081081081081,7.239864864864865,7.064406779661017,4.193220338983051,3.545762711864407
5,33.016949152542374,36.24067796610169,35.395270270270274,33.398648648648646,29.71186440677966,9.098305084745762,5.884745762711864
6,117.2,134.06440677966103,131.2668918918919,120.55067567567568,103.67457627118644,19.816949152542374,14.335593220338984
7,298.36610169491524,341.3728813559322,328.3378378378378,301.4054054054054,260.6779661016949,36.29491525423729,26.935593220338983
8,417.6677966101695,460.3491525423729,446.15202702702703,419.5,366.6305084745763,66.12881355932204,51.088135593220336
9,227.864406779661,239.74237288135592,243.17567567567568,228.1216216216216,209.06462585034015,86.75593220338983,75.31525423728813
10,94.04745762711865,98.7186440677966,101.51689189189189,96.96283783783784,97.72448979591837,98.8,94.40677966101696
11,73.34915254237288,71.75510204081633,72.17567567567568,72.46621621621621,75.19661016949152,113.28813559322033,114.58983050847458
12,74.65084745762712,75.09183673469387,74.8108108108108,73.77364864864865,79.7728813559322,122.86440677966101,129.38983050847457
13,82.19661016949152,78.89830508474576,80.5608108108108,79.50675675675676,87.19322033898305,127.98305084745763,138.70508474576272
14,93.85762711864406,88.57627118644068,90.83783783783784,88.0304054054054,101.26101694915255,129.71864406779662,141.19661016949152
15,128.95254237288137,130.95593220338984,129.86486486486487,126.49662162162163,144.8237288135593,131.11864406779662,135.75593220338982
16,248.36271186440678,263.26440677966104,261.9054054054054,246.80405405405406,259.42033898305084,120.36949152542373,124.30847457627118
17,500.16610169491526,528.9118644067796,520.2533783783783,478.0439189189189,411.9559322033898,105.2135593220339,102.18983050847457
18,348.53559322033897,371.97627118644067,369.8277027027027,339.3310810810811,257.97627118644067,84.69491525423729,76.79661016949153
19,158.15254237288136,175.36271186440678,175.10135135135135,165.15202702702703,122.84745762711864,57.35254237288136,52.5728813559322
20,85.30508474576271,93.63728813559322,98.97972972972973,95.4695945945946,68.26101694915255,42.708474576271186,37.715254237288136
21,51.24745762711864,57.87118644067797,61.20945945945946,59.9222972972973,46.11186440677966,32.708474576271186,25.54237288135593
22,30.60677966101695,34.96271186440678,38.023648648648646,38.810810810810814,36.50847457627118,26.501694915254237,18.82033898305085
23,18.159322033898306,20.51186440677966,21.14189189189189,24.56081081081081,28.735593220338984,22.966101694915253,12.884745762711864
